Α/Α;Ημερομηνία;Αιτιολογία;Κατάστημα;Τοκισμός από;Αρ. συναλλαγής;Ποσό;Πρόσημο ποσού;
1;05/01/2025;="ΕΜΒΑΣΜΑ ΑΠΟ ΛΟΓ. ΟΨΕΩΣ";12;5/1/2025;="202501050012000801";200,00;Π;
2;05/02/2025;="ΕΜΒΑΣΜΑ ΑΠΟ ΛΟΓ. ΟΨΕΩΣ";12;5/2/2025;="202502050012000802";200,00;Π;
3;05/03/2025;="ΕΜΒΑΣΜΑ ΑΠΟ ΛΟΓ. ΟΨΕΩΣ";12;5/3/2025;="202503050012000803";200,00;Π;
4;31/03/2025;="ΤΟΚΟΙ ΚΑΤΑΘΕΣΕΩΝ";12;31/3/2025;="202503310012000903";185,00;Π;
5;05/04/2025;="ΕΜΒΑΣΜΑ ΑΠΟ ΛΟΓ. ΟΨΕΩΣ";12;5/4/2025;="202504050012000804";200,00;Π;
6;05/05/2025;="ΕΜΒΑΣΜΑ ΑΠΟ ΛΟΓ. ΟΨΕΩΣ";12;5/5/2025;="202505050012000805";200,00;Π;
7;05/06/2025;="ΕΜΒΑΣΜΑ ΑΠΟ ΛΟΓ. ΟΨΕΩΣ";12;5/6/2025;="202506050012000806";200,00;Π;
8;30/06/2025;="ΤΟΚΟΙ ΚΑΤΑΘΕΣΕΩΝ";12;30/6/2025;="202506300012000906";200,00;Π;
9;05/07/2025;="ΕΜΒΑΣΜΑ ΑΠΟ ΛΟΓ. ΟΨΕΩΣ";12;5/7/2025;="202507050012000807";200,00;Π;
10;05/08/2025;="ΕΜΒΑΣΜΑ ΑΠΟ ΛΟΓ. ΟΨΕΩΣ";12;5/8/2025;="202508050012000808";200,00;Π;
11;05/09/2025;="ΕΜΒΑΣΜΑ ΑΠΟ ΛΟΓ. ΟΨΕΩΣ";12;5/9/2025;="202509050012000809";200,00;Π;
12;30/09/2025;="ΤΟΚΟΙ ΚΑΤΑΘΕΣΕΩΝ";12;30/9/2025;="202509300012000909";205,00;Π;
13;05/10/2025;="ΕΜΒΑΣΜΑ ΑΠΟ ΛΟΓ. ΟΨΕΩΣ";12;5/10/2025;="202510050012000810";200,00;Π;
14;05/11/2025;="ΕΜΒΑΣΜΑ ΑΠΟ ΛΟΓ. ΟΨΕΩΣ";12;5/11/2025;="202511050012000811";200,00;Π;
15;05/12/2025;="ΕΜΒΑΣΜΑ ΑΠΟ ΛΟΓ. ΟΨΕΩΣ";12;5/12/2025;="202512050012000812";200,00;Π;
16;31/12/2025;="ΤΟΚΟΙ ΚΑΤΑΘΕΣΕΩΝ";12;31/12/2025;="202512310012000912";210,00;Π;
